resort_slug,name,elevation,embed_type,embed_url,youtube_id,is_active
killington,Snowshed Base,1165,link,https://www.killington.com/mountain/webcams,,true
killington,Ramshead Area,3711,link,https://www.killington.com/mountain/webcams,,true
stratton,Summit,3875,link,https://www.stratton.com/mountain/webcams,,true
stratton,Village Base,1872,link,https://www.stratton.com/mountain/webcams,,true
sugarbush,Lincoln Peak Summit,4135,link,https://www.sugarbush.com/mountain/webcams,,true
sugarbush,Gate House Base,1483,link,https://www.sugarbush.com/mountain/webcams,,true
jay-peak,Tram Summit,3968,link,https://www.jaypeakresort.com/mountain/webcams,,true
jay-peak,Aerial Tramway Base,1815,link,https://www.jaypeakresort.com/mountain/webcams,,true
sunday-river,Summit,3140,link,https://www.sundayriver.com/mountain/webcams,,true
sunday-river,North Peak,2735,link,https://www.sundayriver.com/mountain/webcams,,true
sugarloaf,Summit,4237,link,https://www.sugarloaf.com/mountain/webcams,,true
sugarloaf,Base Lodge,1417,link,https://www.sugarloaf.com/mountain/webcams,,true
loon,Gondola Summit,3050,link,https://www.loonmtn.com/mountain/webcams,,true
loon,Base,1030,link,https://www.loonmtn.com/mountain/webcams,,true
cannon,Summit,4080,link,https://www.cannonmt.com/mountain/webcams,,true
cannon,Base Area,1923,link,https://www.cannonmt.com/mountain/webcams,,true
bretton-woods,Mt. Rosebrook Summit,3100,link,https://www.brettonwoods.com/mountain/webcams,,true
bretton-woods,Base Lodge,1700,link,https://www.brettonwoods.com/mountain/webcams,,true
taos,Kachina Peak,12481,link,https://www.skitaos.com/the-mountain/webcams,,true
taos,Base Terminal,9207,link,https://www.skitaos.com/the-mountain/webcams,,true
taos,West Basin Ridge,11800,link,https://www.skitaos.com/the-mountain/webcams,,true
ski-santa-fe,Tesuque Peak Summit,12075,link,https://skisantafe.com/mountain/webcams,,true
ski-santa-fe,Base Lodge,10350,link,https://skisantafe.com/mountain/webcams,,true
snowshoe,Top of Cupp Run,4848,link,https://www.snowshoemtn.com/mountain/webcams,,true
snowshoe,Village Base,4848,link,https://www.snowshoemtn.com/mountain/webcams,,true
bear-mountain,Summit,8805,link,https://bearmountain.com/mountain/webcams,,true
bear-mountain,Bear Mountain Village,7140,link,https://bearmountain.com/mountain/webcams,,true
snow-summit,Summit,8200,link,https://snowsummit.com/mountain/webcams,,true
schweitzer,Summit,6395,link,https://www.schweitzer.com/mountain/webcams,,true
schweitzer,Village Base,4709,link,https://www.schweitzer.com/mountain/webcams,,true
bogus-basin,Shafer Butte Summit,7590,link,https://bogusbasin.org/mountain/webcams,,true
bogus-basin,Lodges Base,6100,link,https://bogusbasin.org/mountain/webcams,,true
mt-hood-meadows,South Lodge Base,5250,link,https://www.skihood.com/explore/mountain/webcams,,true
mt-hood-meadows,Mt. Hood Summit Area,11239,link,https://www.skihood.com/explore/mountain/webcams,,true
timberline,Timberline Lodge,5960,link,https://www.timberlinelodge.com/mountain/conditions/webcams,,true
timberline,Palmer Snowfield,8540,link,https://www.timberlinelodge.com/mountain/conditions/webcams,,true
snoqualmie,Summit West Base,3000,link,https://www.summitatsnoqualmie.com/mountain/webcams,,true
snoqualmie,Summit Central,3400,link,https://www.summitatsnoqualmie.com/mountain/webcams,,true
mission-ridge,Summit,6820,link,https://www.missionridge.com/mountain/webcams,,true
mission-ridge,Base Lodge,4570,link,https://www.missionridge.com/mountain/webcams,,true
